relation_set_id,source_id,source_location,hall_id,voces_commit,source_group,relation_role,source_form_pdlma_raw,dictionaria_match_status,dictionaria_entry_ids,dictionaria_headwords_ap,comparison_policy,ap_surface_assertion,generation_license_assertion,correction_assertion
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,BASIC,-apa,UNIQUE_STRICT,apa,rapa,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-zu-g-apa,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-si-g-apa,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-su-g-apa,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,LESS_ACTIVE,-y-una,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,BASIC,-una,UNIQUE_STRICT,una,runa,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UNA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-g-una,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,LESS_ACTIVE,-y-uunda,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,BASIC,-uunda,MULTIPLE_STRICT,uunda1|uunda2,ruunda'|ruunda',RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-si-g-uunda,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-UUNDA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-su-g-uunda,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-ADXE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,BASIC,-adxe,UNIQUE_STRICT,adxe,radxe,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-ADXE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,CAUSATIVE,-u-g-adxe,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-ATI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,Table 7 and Table 18,HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,BASIC,-ati,UNIQUE_STRICT,ati,rati,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-ATI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,Table 7 and Table 18,HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,CAUSATIVE,-u-utì,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-O,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,BASIC,-o,UNIQUE_STRICT,o,ro,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-O,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,CAUSATIVE,-u-g-o,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-UNI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,BASIC,-uni,UNIQUE_STRICT,uni,runi,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V3-UNI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 7, pp. 102-103",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V3,CAUSATIVE,-u-si-g-uni,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-REZA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,BASIC,-reza,UNIQUE_STRICT,reza,rireza,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-REZA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,CAUSATIVE,-cheza,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,BASIC,-ruku,UNIQUE_STRICT,ruku,rirucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,CAUSATIVE,-chuku,UNIQUE_STRICT,chuku,richucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-LADI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,BASIC,-ladí’,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-LADI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,CAUSATIVE,-ndadí’,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,BASIC,-laà,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C1-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 9, p. 105",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C1,CAUSATIVE,-ndaà,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-CHUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,BASIC,-chuku,UNIQUE_STRICT,chuku,richucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-CHUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,CAUSATIVE,-u-chuku,UNIQUE_STRICT,uchuku,ruchucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-KICHI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,BASIC,-kichi,UNIQUE_STRICT,kichi,riquichi,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-KICHI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,CAUSATIVE,-u-kichi,UNIQUE_STRICT,ukichi,ruquichi,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-TUBI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,BASIC,-tubì,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C2-TUBI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 10, p. 106",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C2,CAUSATIVE,-u-tubì,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-BANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,BASIC,-bani,UNIQUE_STRICT,bani,ribani,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-BANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,CAUSATIVE,-u-kwaani,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-DIDI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,BASIC,-di’di,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-DIDI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 11, p. 107",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,CAUSATIVE,-u-tiidi,UNIQUE_STRICT,utiidi,rutiidi',RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-LATE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,Table 11 and §5.5,HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,BASIC,-late,UNIQUE_STRICT,late,rilate,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C3-LATE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,Table 11 and §5.5,HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C3,CAUSATIVE,-u-ndaate,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C4-BABA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C4,BASIC,-baba,UNIQUE_STRICT,baba,ribaba,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C4-BABA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C4,CAUSATIVE,-u-si-baba,UNIQUE_STRICT,usibaba,rusibaba,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C4-NDANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C4,BASIC,-ndani,UNIQUE_STRICT,ndani,rindani,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-C4-NDANI,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 12, p. 108",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,C4,CAUSATIVE,-u-si-ndani,UNIQUE_STRICT,usindani,rusindani,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,BASIC,-laa,UNIQUE_STRICT,laa-2,rilaa,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,G_DERIVED_STEM,-ndaà,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-LAA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,CAUSATIVE,-u-ndaa,UNIQUE_STRICT,undaa,rundaa,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,BASIC,-ruku,UNIQUE_STRICT,ruku,rirucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,G_DERIVED_STEM,-chuku,UNIQUE_STRICT,chuku,richucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EXC-RUKU,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 14, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,CROSS_GROUP_EXCEPTION,CAUSATIVE,-u-chuku,UNIQUE_STRICT,uchuku,ruchucu,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-IIBA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 15, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,LESS_ACTIVE,-d-iiba,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-IIBA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 15, p. 110",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,MORE_ACTIVE,-g-ibà,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-AANYE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Tables 15-16, pp. 110-111",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,LESS_ACTIVE,-d-aanyè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-AANYE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Tables 15-16, pp. 110-111",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,MORE_ACTIVE,-g-aanyè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-AANYE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 16, p. 111",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,CAUSATIVE,-u-k-aanyè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-EQ-AANYE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 16, p. 111",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,EQUIPOLLENT,CAUSATIVE,-u-si-k-aanyè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
